Time; A; B; C
0; 1000; 100; 10
0.0412704; 1000; 100; 9
0.623563; 1000; 100; 8
0.781084; 1000; 100; 7
0.950111; 999; 99; 8
2.80702; 999; 99; 7
2.83653; 998; 98; 8
4.9082; 997; 97; 9
5.06001; 996; 96; 10
5.12716; 996; 96; 9
5.56084; 995; 95; 10
5.82096; 995; 95; 9
5.85483; 994; 94; 10
6.0866; 993; 93; 11
6.19577; 992; 92; 12
6.37658; 992; 92; 11
6.59807; 991; 91; 12
6.79984; 990; 90; 13
7.26944; 990; 90; 12
7.30005; 990; 90; 11
7.33501; 989; 89; 12
8.12859; 989; 89; 11
8.85198; 989; 89; 10
11.3123; 988; 88; 11
11.4975; 988; 88; 10
13.3519; 987; 87; 11
13.4682; 987; 87; 10
13.8777; 987; 87; 9
13.9756; 986; 86; 10
14.5011; 985; 85; 11
14.6876; 984; 84; 12
14.9644; 984; 84; 11
15.2321; 983; 83; 12
15.3282; 982; 82; 13
15.5703; 982; 82; 12
15.8407; 981; 81; 13
17.3514; 981; 81; 12
17.5794; 980; 80; 13
18.1016; 980; 80; 12
18.315; 980; 80; 11
18.514; 979; 79; 12
18.6688; 978; 78; 13
18.72; 977; 77; 14
19.337; 976; 76; 15
21.5226; 975; 75; 16
22.2749; 975; 75; 15
22.4028; 975; 75; 14
22.5493; 975; 75; 13
22.8382; 975; 75; 12
22.9355; 974; 74; 13
23.4381; 973; 73; 14
23.7294; 972; 72; 15
23.9119; 972; 72; 14
24.2577; 972; 72; 13
24.6134; 972; 72; 12
25.3313; 971; 71; 13
25.4693; 970; 70; 14
26.2779; 969; 69; 15
28.2473; 968; 68; 16
29.6196; 968; 68; 15
30.2582; 968; 68; 14
30.4357; 967; 67; 15
30.6517; 967; 67; 14
32.8447; 967; 67; 13
33.4688; 967; 67; 12
33.7047; 967; 67; 11
33.8163; 966; 66; 12
33.9256; 966; 66; 11
34.0485; 965; 65; 12
34.3701; 964; 64; 13
34.5994; 964; 64; 12
35.8553; 963; 63; 13
36.4398; 962; 62; 14
37.4003; 961; 61; 15
38.2229; 960; 60; 16
38.3936; 960; 60; 15
38.5905; 959; 59; 16
38.7198; 959; 59; 15
38.9094; 959; 59; 14
39.6965; 959; 59; 13
39.8321; 958; 58; 14
39.9955; 957; 57; 15
40.0718; 957; 57; 14
40.7008; 956; 56; 15
41.0404; 955; 55; 16
41.0611; 954; 54; 17
41.3724; 954; 54; 16
41.6889; 954; 54; 15
41.7056; 953; 53; 16
41.7947; 953; 53; 15
42.479; 953; 53; 14
43.2539; 953; 53; 13
43.5666; 952; 52; 14
43.5912; 951; 51; 15
45.3275; 951; 51; 14
46.1455; 950; 50; 15
46.8043; 950; 50; 14
47.7885; 949; 49; 15
48.4555; 949; 49; 14
48.4568; 948; 48; 15
48.9892; 948; 48; 14
49.2575; 947; 47; 15
49.4038; 946; 46; 16
49.4203; 945; 45; 17
49.6361; 944; 44; 18
51.0448; 944; 44; 17
51.1462; 943; 43; 18
51.417; 942; 42; 19
51.7873; 941; 41; 20
52.4085; 940; 40; 21
52.6457; 939; 39; 22
52.7149; 938; 38; 23
53.2187; 937; 37; 24
53.6349; 937; 37; 23
53.9635; 937; 37; 22
53.9778; 937; 37; 21
55.4519; 936; 36; 22
55.6195; 936; 36; 21
55.8876; 936; 36; 20
55.9976; 935; 35; 21
56.2876; 935; 35; 20
57.282; 934; 34; 21
57.9316; 934; 34; 20
58.0051; 933; 33; 21
58.4663; 932; 32; 22
58.9747; 932; 32; 21
59.8548; 932; 32; 20
60.763; 932; 32; 19
60.8174; 932; 32; 18
60.9996; 931; 31; 19
61.0482; 930; 30; 20
61.7083; 929; 29; 21
61.9098; 928; 28; 22
62.7246; 927; 27; 23
63.6497; 927; 27; 22
64.0186; 927; 27; 21
64.8703; 926; 26; 22
64.9115; 925; 25; 23
65.0241; 925; 25; 22
66.0343; 924; 24; 23
66.4053; 924; 24; 22
67.0388; 924; 24; 21
67.9082; 923; 23; 22
69.6935; 922; 22; 23
69.6995; 922; 22; 22
70.0107; 922; 22; 21
70.3611; 921; 21; 22
70.374; 921; 21; 21
70.7086; 920; 20; 22
71.1629; 919; 19; 23
71.6891; 919; 19; 22
