Time; A; B; C
0; 1000; 100; 10
0.0394507; 1000; 100; 9
1.23703; 999; 99; 10
1.29859; 998; 98; 11
3.82363; 997; 97; 12
4.29884; 997; 97; 11
6.35723; 996; 96; 12
6.48133; 996; 96; 11
6.80274; 996; 96; 10
7.91201; 995; 95; 11
8.23499; 995; 95; 10
8.46718; 995; 95; 9
8.82394; 994; 94; 10
9.62338; 993; 93; 11
10.4578; 992; 92; 12
10.6178; 991; 91; 13
10.7497; 990; 90; 14
11.4468; 989; 89; 15
12.8397; 989; 89; 14
12.877; 988; 88; 15
13.2243; 987; 87; 16
13.5662; 987; 87; 15
13.8759; 987; 87; 14
14.3139; 987; 87; 13
16.331; 986; 86; 14
17.0459; 985; 85; 15
17.5815; 985; 85; 14
17.8411; 984; 84; 15
17.8915; 984; 84; 14
18.7353; 983; 83; 15
18.9561; 983; 83; 14
20.0641; 983; 83; 13
20.9773; 983; 83; 12
22.0266; 983; 83; 11
22.6474; 983; 83; 10
22.6525; 983; 83; 9
22.9855; 982; 82; 10
23.2506; 982; 82; 9
24.1206; 982; 82; 8
24.1603; 982; 82; 7
24.2496; 981; 81; 8
24.4241; 980; 80; 9
24.5808; 980; 80; 8
24.7985; 979; 79; 9
24.9754; 979; 79; 8
25.9558; 978; 78; 9
26.2734; 977; 77; 10
26.6551; 977; 77; 9
28.0698; 977; 77; 8
28.906; 976; 76; 9
30.6283; 976; 76; 8
30.6808; 975; 75; 9
32.404; 974; 74; 10
32.4177; 973; 73; 11
32.8224; 973; 73; 10
33.2179; 973; 73; 9
33.3013; 973; 73; 8
33.4208; 973; 73; 7
33.5895; 972; 72; 8
33.9294; 972; 72; 7
33.9928; 971; 71; 8
34.2959; 971; 71; 7
34.5256; 971; 71; 6
35.0661; 971; 71; 5
35.1519; 971; 71; 4
35.6563; 970; 70; 5
36.913; 969; 69; 6
37.5635; 969; 69; 5
38.9201; 969; 69; 4
39.5668; 969; 69; 3
40.0311; 969; 69; 2
40.0628; 968; 68; 3
40.0919; 967; 67; 4
41.6191; 967; 67; 3
41.7022; 967; 67; 2
41.8972; 966; 66; 3
42.2753; 965; 65; 4
43.2048; 965; 65; 3
43.8743; 964; 64; 4
45.3493; 963; 63; 5
45.3898; 962; 62; 6
45.4678; 961; 61; 7
45.6066; 960; 60; 8
45.9536; 959; 59; 9
46.1603; 959; 59; 8
46.6301; 959; 59; 7
46.8815; 958; 58; 8
48.0678; 958; 58; 7
49.5245; 957; 57; 8
50.0824; 957; 57; 7
50.8448; 957; 57; 6
51.2525; 956; 56; 7
51.5724; 955; 55; 8
53.8507; 954; 54; 9
54.5124; 954; 54; 8
54.6837; 953; 53; 9
54.8333; 952; 52; 10
55.8016; 951; 51; 11
55.8462; 950; 50; 12
55.9854; 950; 50; 11
56.0423; 949; 49; 12
56.3877; 949; 49; 11
57.2318; 949; 49; 10
57.6742; 949; 49; 9
58.666; 948; 48; 10
58.8077; 947; 47; 11
59.2132; 946; 46; 12
59.2835; 946; 46; 11
60.2463; 946; 46; 10
60.6695; 945; 45; 11
62.6228; 945; 45; 10
63.4321; 945; 45; 9
63.5604; 945; 45; 8
63.5627; 945; 45; 7
63.5957; 944; 44; 8
66.9498; 943; 43; 9
67.0216; 942; 42; 10
68.385; 942; 42; 9
68.5111; 942; 42; 8
69.3858; 942; 42; 7
70.236; 941; 41; 8
